Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,57,0,1943
2,53,0,1890
3,25,0,1865
4,48,0,1817
5,32,0,1785
6,33,0,1752
7,0,248,2000
8,140,0,1860
9,134,0,1726
10,75,0,1651
11,181,0,1470
12,64,0,1406
13,180,0,1226
14,0,774,2000
15,167,0,1833
16,102,0,1731
17,33,0,1698
18,114,0,1584
19,107,0,1477
20,91,0,1386
21,0,614,2000
22,191,0,1809
23,150,0,1659
24,50,0,1609
25,200,0,1409
26,10,0,1399
27,134,0,1265
28,0,735,2000
29,75,0,1925
30,5,0,1920
31,170,0,1750
32,100,0,1650
33,73,0,1577
34,20,0,1557
35,0,443,2000
36,194,0,1806
37,88,0,1718
38,53,0,1665
39,82,0,1583
40,39,0,1544
41,167,0,1377
42,0,623,2000
43,134,0,1866
44,71,0,1795
45,35,0,1760
46,86,0,1674
47,133,0,1541
48,55,0,1486
49,0,514,2000
